"filename", "language", "TypeScript JSX", "Markdown", "CSS", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "Properties", "MS SQL", "XML", "comment", "blank", "total"
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\OrderPreviewCard.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\ProductPreview.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\ServicePreviewCard.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\ServicesSummary.tsx", "TypeScript JSX", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 72
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\calendar\Calendar.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 73
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\calendar\style.css", "CSS", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\calendar\timeCard\TimeCard.tsx", "TypeScript JSX", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 94
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\carousel\ImageCarousel.tsx", "TypeScript JSX", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 83
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\graphs\Donut.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\graphs\Line.tsx", "TypeScript JSX", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 126
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\index.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\input\DropDown.tsx", "TypeScript JSX", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 88
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\input\DropDownMulti.tsx", "TypeScript JSX", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 123
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\input\ImageUpload.tsx", "TypeScript JSX", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 65
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\input\SearchBar.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
